NUMPED;NUMITEM;CODPROD;QTDE;VALUNIT;UNID;ALIQICMS;COMISSAO;STICMS;CFOP;REDUCBASEICMS
553465;1;968;1;3.1;Un;0;3;0;5102;0
553465;2;1510;1;8;Un;0;3;0;5102;0
553465;3;693;0.1;29.9;Kg;0;3;0;5102;0
553466;1;884;4;2.5;Un;0;0;0;5102;0
553466;2;292;1;3.13;Un;0;0;60;5405;0
553466;3;106;0.51;26.6;Kg;18;0;20;5102;33.33
553466;4;146;0.19;36;Kg;18;0;20;5102;33.33
553466;5;1307;0.25;28;Kg;18;0;20;5102;33.33
553466;6;516;0.3;23.5;Kg;18;0;20;5102;33.33
553466;7;290;0.21;25.05;Kg;18;0;20;5102;33.33
553466;8;837;1;14.51;Un;0;0;60;5405;0
553466;9;106;0.5;26.6;Kg;18;0;20;5102;33.33
553467;1;992;1;5.3;Lt;12;2;60;5405;0
553467;2;969;1;2.5;Un;0;0;60;5405;0
553467;3;750;1;18.2;Un;0;0;0;5102;0
553467;4;884;1;2.5;Un;0;0;0;5102;0
553467;5;848;1;6.25;Un;0;0;0;5102;0
553468;1;465;1;52.7;Un;0;0;0;5102;0
553468;2;170;5;32.94;Kg;12;0;0;5102;0
553468;3;502;2;21.47;Un;18;0;20;5102;61.11
553469;1;1401;2;16.6;Un;0;3;0;5102;0
553469;2;436;2;35.56;Un;0;3;0;5102;0
553469;3;181;1.55;42.12;Kg;18;3;20;5102;33.33
553469;4;227;5;18.17;Kg;0;3;60;5405;0
553470;1;196;10;26.79;Kg;18;0;20;5102;33.33
553470;2;126;6.3;11.62;Kg;18;0;20;5102;33.33
553470;3;364;3;19.92;Un;12;0;0;5102;0
553470;4;440;1;30.21;Bd;0;0;0;5102;0
553470;5;442;1;27.93;Bd;0;0;0;5102;0
553471;1;170;5;32.94;Kg;12;0;0;5102;0
553472;1;364;2;19.92;Un;12;0;0;5102;0
553472;2;925;2;22.8;Un;18;0;20;5102;12
553472;3;922;2;30.16;Cx;18;0;20;5102;33.33
553472;4;352;1;17.48;Un;18;0;0;5102;0
553472;5;341;1;18.84;Un;18;0;0;5102;0
553473;1;2339;1;3.5;Pç;0;0;0;5102;0
553474;1;2339;1;3.5;Pç;0;0;0;5102;0
553474;2;138;1;9.52;Un;0;0;60;5405;0
553475;1;2100;1;7;Un;0;0;0;5102;0
553476;1;456;1;30.86;Un;0;0;0;5102;0
553476;2;325;0.33;57.12;Kg;18;0;20;5102;33.33
553476;3;497;0.28;68.2;Kg;18;0;20;5102;33.33
553476;4;122;4.14;35.31;Kg;12;0;0;5102;0
553536;1;122;24.7;35.31;Kg;12;0;0;5102;0
553477;1;100;8.49;35.31;Kg;12;0;0;5102;0
553477;2;213;3.48;17.96;Kg;0;0;0;5102;0
553477;3;709;2.72;39;Kg;0;0;0;5102;0
553477;4;121;1.12;30.94;Kg;18;0;20;5102;33.33
553537;1;122;12.5;35.31;Kg;12;3;0;5102;0
553644;1;182;8;2.75;Un;0;0;60;5405;0
553644;2;198;12;9.51;Un;18;0;20;5102;33.33
553644;3;433;6;16.8;Un;18;0;20;5102;61.11
553644;4;343;1;49.88;Un;18;0;20;5102;33.33
553644;5;300;6;7.17;Un;0;0;60;5405;0
553644;6;992;12;5.3;Lt;12;2;60;5405;0
553644;7;446;3;12.66;Un;0;0;60;5405;0
553479;1;100;2.16;35.31;Kg;12;0;0;5102;0
